iter	Passed	Remaining
0	1	126
1	2	106
2	3	102
3	4	96
4	4	93
5	5	90
6	6	87
7	7	84
8	8	82
9	9	81
10	9	79
11	10	77
12	11	75
13	12	74
14	12	72
15	13	71
16	14	70
17	15	69
18	15	68
19	16	66
20	17	65
21	18	64
22	19	63
23	19	62
24	20	61
25	21	60
26	22	60
27	23	59
28	23	58
29	24	57
30	25	57
31	26	56
32	27	54
33	27	53
34	28	52
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	32	47
41	33	45
42	33	44
43	34	43
44	35	43
45	35	42
46	36	41
47	37	40
48	38	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	42	34
55	42	33
56	43	33
57	44	32
58	45	31
59	45	30
60	46	29
61	47	29
62	48	28
63	48	27
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	60	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	66	9
88	66	8
89	67	7
90	68	6
91	68	5
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
